Date,sensor0X,sensor0Y,sensor0Z,sensor1X,sensor1Y,sensor1Z,sensor2X,sensor2Y,sensor2Z,sensor3X,sensor3Y,sensor3Z,sensor4X,sensor4Y,sensor4Z,sensor5X,sensor5Y,sensor5Z,sensor6X,sensor6Y,sensor6Z,sensor7X,sensor7Y,sensor7Z
2022-6-20 17:44:23.005,-9.45,0.02,-0.01,9.51,-0.03,-0.39,9.57,0.45,-0.16,9.59,0.01,-0.34,9.67,0.02,-0.39,-9.64,-0.57,0.11,9.54,-0.6,-0.24,9.69,-0.14,-0.29
2022-6-20 17:44:23.008,-9.41,0.05,0.0,9.54,-0.04,-0.37,9.56,0.45,-0.15,9.59,0.02,-0.34,9.69,0.02,-0.34,-9.65,-0.56,0.11,9.53,-0.6,-0.26,9.69,-0.15,-0.27
2022-6-20 17:44:23.034,-9.44,0.01,-0.03,9.52,-0.05,-0.4,9.57,0.42,-0.16,9.6,0.01,-0.37,9.65,0.02,-0.36,-9.64,-0.56,0.1,9.53,-0.59,-0.27,9.67,-0.17,-0.32
2022-6-20 17:44:23.056,-9.45,0.03,-0.03,9.54,-0.03,-0.41,9.6,0.42,-0.14,9.6,0.03,-0.35,9.66,0.03,-0.35,-9.65,-0.56,0.12,9.52,-0.57,-0.25,9.7,-0.15,-0.3
2022-6-20 17:44:23.094,-9.44,0.04,0.0,9.55,-0.01,-0.39,9.58,0.43,-0.16,9.59,0.02,-0.36,9.65,0.02,-0.35,-9.64,-0.56,0.11,9.54,-0.58,-0.25,9.68,-0.15,-0.28
2022-6-20 17:44:23.134,-9.44,0.02,-0.02,9.54,0.0,-0.42,9.56,0.44,-0.15,9.59,0.03,-0.36,9.67,0.02,-0.37,-9.65,-0.55,0.1,9.55,-0.58,-0.3,9.67,-0.16,-0.31
2022-6-20 17:44:23.158,-9.44,0.01,0.0,9.54,-0.04,-0.37,9.57,0.42,-0.15,9.59,0.03,-0.35,9.66,0.01,-0.34,-9.67,-0.57,0.11,9.54,-0.59,-0.25,9.67,-0.16,-0.29
2022-6-20 17:44:23.197,-9.43,0.02,-0.01,9.56,-0.03,-0.39,9.56,0.43,-0.13,9.57,0.0,-0.34,9.68,0.04,-0.32,-9.64,-0.56,0.11,9.54,-0.58,-0.29,9.7,-0.14,-0.26
2022-6-20 17:44:23.239,-9.45,0.03,-0.03,9.54,-0.05,-0.37,9.57,0.42,-0.16,9.6,0.02,-0.34,9.68,0.0,-0.37,-9.62,-0.58,0.1,9.53,-0.59,-0.26,9.69,-0.16,-0.3
2022-6-20 17:44:24.001,-9.44,0.04,0.0,9.54,0.0,-0.39,9.58,0.43,-0.15,9.58,0.0,-0.35,9.66,0.03,-0.38,-9.65,-0.57,0.13,9.56,-0.61,-0.27,9.7,-0.13,-0.29
2022-6-20 17:44:24.041,-9.45,0.0,-0.04,9.55,-0.04,-0.42,9.57,0.42,-0.15,9.61,0.03,-0.34,9.67,0.02,-0.35,-9.64,-0.57,0.11,9.53,-0.58,-0.25,9.7,-0.14,-0.28
2022-6-20 17:44:24.079,-9.44,0.02,-0.02,9.54,-0.02,-0.39,9.57,0.43,-0.17,9.61,0.02,-0.36,9.67,0.04,-0.37,-9.64,-0.55,0.1,9.53,-0.59,-0.28,9.68,-0.17,-0.3
2022-6-20 17:44:24.103,-9.44,0.01,-0.01,9.54,-0.01,-0.4,9.56,0.4,-0.13,9.58,0.02,-0.33,9.68,0.02,-0.34,-9.62,-0.56,0.11,9.53,-0.6,-0.24,9.7,-0.18,-0.29
2022-6-20 17:44:24.140,-9.45,0.02,-0.05,9.54,0.0,-0.39,9.56,0.42,-0.15,9.58,0.0,-0.35,9.69,0.03,-0.35,-9.64,-0.56,0.09,9.54,-0.57,-0.27,9.68,-0.17,-0.27
2022-6-20 17:44:24.180,-9.42,0.0,-0.03,9.53,-0.03,-0.4,9.57,0.44,-0.15,9.59,0.04,-0.36,9.69,0.03,-0.34,-9.64,-0.56,0.11,9.53,-0.57,-0.27,9.69,-0.17,-0.32
2022-6-20 17:44:24.201,-9.42,0.02,-0.01,9.53,-0.01,-0.39,9.55,0.44,-0.16,9.59,0.03,-0.36,9.7,0.03,-0.37,-9.65,-0.57,0.09,9.56,-0.58,-0.27,9.7,-0.16,-0.28
2022-6-20 17:44:24.239,-9.44,0.02,-0.04,9.55,-0.01,-0.41,9.56,0.43,-0.15,9.61,0.03,-0.36,9.67,0.01,-0.39,-9.64,-0.55,0.11,9.54,-0.61,-0.24,9.7,-0.15,-0.29
2022-6-20 17:44:24.280,-9.43,0.01,-0.03,9.54,-0.03,-0.4,9.59,0.44,-0.14,9.6,0.05,-0.34,9.67,0.02,-0.35,-9.65,-0.56,0.08,9.54,-0.61,-0.26,9.68,-0.13,-0.29
2022-6-20 17:44:24.301,-9.42,0.03,0.0,9.55,-0.05,-0.38,9.57,0.45,-0.15,9.59,0.02,-0.35,9.68,0.03,-0.38,-9.64,-0.56,0.13,9.54,-0.59,-0.25,9.67,-0.16,-0.27
2022-6-20 17:44:24.337,-9.43,0.01,0.0,9.53,-0.02,-0.41,9.56,0.41,-0.15,9.59,0.02,-0.35,9.69,0.01,-0.36,-9.64,-0.56,0.1,9.54,-0.61,-0.26,9.69,-0.15,-0.3
2022-6-20 17:44:24.377,-9.44,0.0,-0.03,9.53,-0.03,-0.39,9.56,0.44,-0.15,9.59,0.0,-0.37,9.67,0.04,-0.35,-9.66,-0.56,0.11,9.53,-0.58,-0.26,9.69,-0.14,-0.31
2022-6-20 17:44:24.411,-9.45,0.03,-0.01,9.54,-0.01,-0.39,9.58,0.43,-0.16,9.58,0.02,-0.35,9.69,0.0,-0.37,-9.65,-0.56,0.11,9.53,-0.59,-0.24,9.68,-0.16,-0.31
2022-6-20 17:44:24.431,-9.45,0.04,-0.03,9.54,-0.02,-0.41,9.55,0.44,-0.15,9.59,0.01,-0.38,9.68,0.05,-0.34,-9.63,-0.56,0.1,9.54,-0.58,-0.25,9.7,-0.16,-0.32
2022-6-20 17:44:24.471,-9.42,0.02,-0.02,9.54,-0.05,-0.41,9.58,0.43,-0.15,9.58,0.02,-0.39,9.67,0.0,-0.39,-9.64,-0.56,0.1,9.54,-0.58,-0.24,9.68,-0.14,-0.28
2022-6-20 17:44:24.508,-9.45,0.01,-0.01,9.54,-0.03,-0.39,9.57,0.42,-0.15,9.59,0.04,-0.37,9.67,0.02,-0.35,-9.64,-0.56,0.12,9.54,-0.59,-0.25,9.67,-0.14,-0.26
2022-6-20 17:44:24.544,-9.43,0.01,-0.02,9.54,0.0,-0.37,9.57,0.41,-0.15,9.59,0.04,-0.38,9.66,0.01,-0.36,-9.64,-0.56,0.09,9.56,-0.59,-0.24,9.68,-0.15,-0.28
2022-6-20 17:44:24.566,-9.43,0.02,-0.04,9.55,0.0,-0.42,9.59,0.43,-0.16,9.6,0.02,-0.35,9.68,0.02,-0.38,-9.65,-0.56,0.09,9.53,-0.59,-0.25,9.71,-0.16,-0.3
2022-6-20 17:44:24.603,-9.44,0.03,-0.01,9.56,-0.03,-0.41,9.58,0.43,-0.14,9.59,0.02,-0.34,9.66,0.04,-0.36,-9.63,-0.58,0.09,9.56,-0.59,-0.27,9.7,-0.16,-0.28
2022-6-20 17:44:24.641,-9.43,0.01,-0.04,9.55,-0.05,-0.38,9.55,0.43,-0.14,9.58,0.0,-0.35,9.67,0.04,-0.34,-9.65,-0.56,0.11,9.54,-0.58,-0.23,9.7,-0.17,-0.28
2022-6-20 17:44:24.664,-9.45,0.03,0.0,9.55,-0.01,-0.36,9.56,0.43,-0.16,9.59,0.03,-0.37,9.67,0.02,-0.35,-9.65,-0.56,0.12,9.55,-0.58,-0.27,9.69,-0.17,-0.28
2022-6-20 17:44:24.705,-9.43,0.02,-0.01,9.55,-0.03,-0.37,9.56,0.43,-0.15,9.6,0.01,-0.36,9.66,0.04,-0.36,-9.64,-0.56,0.12,9.54,-0.58,-0.27,9.69,-0.17,-0.28
2022-6-20 17:44:24.742,-9.45,0.03,-0.01,9.53,-0.03,-0.39,9.56,0.44,-0.15,9.59,0.01,-0.35,9.69,0.0,-0.34,-9.63,-0.56,0.11,9.54,-0.57,-0.23,9.69,-0.15,-0.24
2022-6-20 17:44:24.766,-9.45,0.02,-0.03,9.55,-0.02,-0.39,9.55,0.45,-0.15,9.59,0.04,-0.36,9.67,0.02,-0.38,-9.64,-0.56,0.11,9.54,-0.58,-0.26,9.68,-0.18,-0.3
2022-6-20 17:44:24.804,-9.46,0.01,-0.01,9.55,-0.05,-0.39,9.56,0.42,-0.14,9.6,0.03,-0.33,9.68,0.02,-0.37,-9.64,-0.57,0.09,9.54,-0.58,-0.24,9.67,-0.17,-0.27
2022-6-20 17:44:24.844,-9.44,0.0,-0.01,9.52,-0.04,-0.39,9.56,0.42,-0.15,9.58,0.03,-0.36,9.7,0.03,-0.34,-9.64,-0.57,0.1,9.56,-0.61,-0.26,9.69,-0.16,-0.3
2022-6-20 17:44:24.864,-9.43,0.01,-0.01,9.54,-0.01,-0.41,9.56,0.44,-0.15,9.59,0.02,-0.38,9.68,0.04,-0.39,-9.64,-0.56,0.13,9.54,-0.58,-0.27,9.71,-0.14,-0.28
2022-6-20 17:44:24.906,-9.45,0.04,-0.01,9.54,0.0,-0.39,9.58,0.41,-0.15,9.57,0.02,-0.35,9.68,0.01,-0.35,-9.63,-0.56,0.1,9.54,-0.57,-0.26,9.7,-0.14,-0.27
2022-6-20 17:44:24.942,-9.44,0.01,-0.01,9.55,-0.02,-0.39,9.55,0.44,-0.13,9.58,0.01,-0.37,9.68,0.02,-0.37,-9.65,-0.55,0.09,9.54,-0.59,-0.24,9.67,-0.15,-0.3
2022-6-20 17:44:24.969,-9.43,0.01,-0.04,9.52,-0.01,-0.39,9.58,0.44,-0.15,9.61,0.0,-0.39,9.66,0.02,-0.38,-9.65,-0.56,0.11,9.54,-0.57,-0.25,9.67,-0.15,-0.31
2022-6-20 17:44:25.001,-9.43,0.04,-0.02,9.53,-0.01,-0.41,9.58,0.42,-0.16,9.59,0.03,-0.35,9.67,0.01,-0.36,-9.64,-0.56,0.11,9.54,-0.6,-0.25,9.7,-0.15,-0.29
2022-6-20 17:44:25.041,-9.44,0.03,0.0,9.54,0.0,-0.38,9.57,0.43,-0.15,9.59,0.04,-0.35,9.7,0.0,-0.34,-9.63,-0.56,0.11,9.51,-0.6,-0.25,9.68,-0.16,-0.31
2022-6-20 17:44:25.065,-9.43,0.03,0.0,9.55,-0.03,-0.4,9.55,0.44,-0.14,9.61,0.03,-0.36,9.65,0.01,-0.37,-9.65,-0.56,0.11,9.53,-0.59,-0.25,9.69,-0.14,-0.3
2022-6-20 17:44:25.103,-9.45,0.05,-0.02,9.53,-0.03,-0.42,9.58,0.42,-0.16,9.6,0.01,-0.37,9.71,0.01,-0.34,-9.63,-0.57,0.12,9.54,-0.6,-0.26,9.69,-0.16,-0.27
2022-6-20 17:44:25.139,-9.43,0.02,-0.01,9.54,-0.02,-0.37,9.56,0.43,-0.14,9.6,0.02,-0.36,9.7,0.02,-0.37,-9.63,-0.57,0.11,9.53,-0.59,-0.26,9.68,-0.15,-0.29
2022-6-20 17:44:25.164,-9.43,0.05,0.0,9.52,-0.02,-0.41,9.58,0.43,-0.17,9.6,0.02,-0.35,9.66,0.02,-0.41,-9.63,-0.56,0.11,9.52,-0.59,-0.25,9.69,-0.16,-0.3
